Age,Mu,Sigma,Lambda,Sex
20.17,23.43688886,0.071293289,0.522830548,Male
20.18,23.43997873,0.071286956,0.521545791,Male
20.19,23.44306246,0.071280624,0.52026104,Male
20.2,23.44614015,0.071274294,0.518976294,Male
20.21,23.44921188,0.071267965,0.517691554,Male
20.22,23.45227774,0.071261637,0.516406822,Male
20.23,23.45533782,0.071255311,0.515122098,Male
20.24,23.4583922,0.071248987,0.513837382,Male
20.25,23.46144098,0.071242664,0.512552676,Male
20.26,23.46448425,0.071236342,0.51126798,Male
20.27,23.46752208,0.071230022,0.509983295,Male
20.28,23.47055457,0.071223704,0.508698622,Male
20.29,23.4735818,0.071217387,0.507413961,Male
20.3,23.47660387,0.071211071,0.506129313,Male
20.31,23.47962085,0.071204757,0.504844679,Male
20.32,23.48263284,0.071198445,0.50356006,Male
20.33,23.48563991,0.071192134,0.502275456,Male
20.34,23.48864217,0.071185824,0.500990869,Male
20.35,23.49163969,0.071179516,0.499706298,Male
20.36,23.49463256,0.07117321,0.498421745,Male
20.37,23.49762086,0.071166905,0.49713721,Male
20.38,23.50060469,0.071160601,0.495852695,Male
20.39,23.50358412,0.071154299,0.494568199,Male
20.4,23.50655924,0.071147998,0.493283723,Male
20.41,23.50953014,0.071141699,0.491999269,Male
20.42,23.5124969,0.071135402,0.490714837,Male
20.43,23.51545961,0.071129106,0.489430428,Male
20.44,23.51841835,0.071122811,0.488146042,Male
20.45,23.52137321,0.071116518,0.48686168,Male
20.46,23.52432427,0.071110226,0.485577343,Male
20.47,23.52727161,0.071103936,0.484293032,Male
20.48,23.53021532,0.071097647,0.483008747,Male
20.49,23.53315548,0.07109136,0.481724489,Male
20.5,23.53609218,0.071085075,0.480440258,Male
20.51,23.5390255,0.071078791,0.479156057,Male
20.52,23.54195553,0.071072508,0.477871884,Male
20.53,23.54488234,0.071066227,0.476587741,Male
20.54,23.54780602,0.071059947,0.475303629,Male
20.55,23.55072665,0.071053669,0.474019548,Male
20.56,23.55364432,0.071047392,0.4727355,Male
20.57,23.5565591,0.071041117,0.471451483,Male
20.58,23.55947109,0.071034843,0.470167501,Male
